Forecasted_at_date,Forecasted_at_time,Forecasted_for_date,Forecasted_for_time,Run_Time,X,Y,Latitude,Longitude,WIND_TGL_10,WIND_TGL_40,WIND_TGL_80,WIND_TGL_120,WDIR_TGL_10,WDIR_TGL_40,WDIR_TGL_80,WDIR_TGL_120,UGRD_TGL_10,UGRD_TGL_40,UGRD_TGL_80,UGRD_TGL_120,VGRD_TGL_10,VGRD_TGL_40,VGRD_TGL_80,VGRD_TGL_120,TMP_TGL_2,SPFH_TGL_2,PRES_SFC_0,TCDC_SFC_0,NSWRS_SFC_0
20140829,18,2014,18,18,448,288,49.000036,-112.049818,12.013,14.968,15.852,16.795,174,174.1,174,174.6,-0.6,-0.649,-0.7,-0.635,6,7.673,8.1,8.631,60.116,0.009,88907.719,37,0
20140829,18,2014,18,18,449,288,49.001491,-111.920937,12.829,15.978,16.921,17.806,172.4,172.6,172.5,173.1,-0.8,-0.924,-1,-0.935,6.4,8.173,8.6,9.106,60.341,0.009,89371.719,42,0
20140829,18,2014,18,18,450,288,49.002755,-111.792047,12.907,16.076,16.921,17.922,173.3,173.3,173,173.4,-0.7,-0.862,-0.9,-0.935,6.6,8.223,8.7,9.156,60.341,0.009,89435.719,39,0
20140829,18,2014,18,18,451,288,49.003828,-111.663149,10.283,13.121,14.005,14.987,174.8,174.6,174.5,174.6,-0.5,-0.549,-0.6,-0.635,5.3,6.723,7.2,7.681,60.746,0.009,89139.719,34,0
20140829,18,2014,18,18,452,288,49.004712,-111.534244,8.378,11.041,11.867,12.946,177.6,177.9,177.5,178,-0.2,-0.162,-0.2,-0.185,4.2,5.66,6.1,6.656,61.376,0.008,88915.719,27,0
20140829,18,2014,18,18,453,288,49.005406,-111.405333,11.741,14.579,15.463,16.464,181.5,181.5,181.5,181.4,0.2,0.251,0.2,0.265,5.9,7.498,8,8.456,61.466,0.009,88995.719,20,0
20140829,18,2014,18,18,454,288,49.005909,-111.276419,10.283,12.674,13.325,14.073,178.5,178.5,178,178.4,-0.2,-0.149,-0.2,-0.185,5.3,6.51,6.9,7.231,62.591,0.009,88995.719,15,0
20140829,18,2014,18,18,455,288,49.006221,-111.147501,9.369,11.566,12.158,12.771,165.6,166.4,166.5,167.5,-1.2,-1.387,-1.4,-1.41,4.6,5.773,6.1,6.431,62.501,0.009,88971.719,12,0
20140829,18,2014,18,18,456,288,49.006344,-111.018582,11.449,14.287,14.977,15.726,160.5,161.4,162,162.8,-2,-2.337,-2.4,-2.385,5.5,6.96,7.3,7.731,61.601,0.008,89347.719,7,0
20140829,18,2014,18,18,457,288,49.006276,-110.889663,11.002,13.762,14.394,14.987,157.6,157.9,158,158.9,-2.3,-2.674,-2.8,-2.785,5.1,6.548,6.9,7.181,61.916,0.008,89915.719,2,0
20140829,18,2014,18,18,458,288,49.006018,-110.760745,9.972,12.577,13.033,13.607,152.4,153.3,153.5,154.3,-2.5,-2.937,-3,-3.06,4.5,5.76,6,6.281,63.626,0.007,90419.719,2,0
20140829,18,2014,18,18,459,288,49.00557,-110.63183,9.564,11.819,12.256,12.713,146.6,147.5,148,148.6,-2.8,-3.299,-3.4,-3.46,4,5.098,5.3,5.556,62.861,0.007,90859.719,1,0
