Asset,Maximum Capability,Total Net Generation,Year,Month,Day,Hour,Minute
Ardenville Wind (ARD1),68,0,2015,4,9,13,0
Blackspring Ridge (BSR1),300,0,2015,4,9,13,0
Blue Trail Wind (BTR1),66,0,2015,4,9,13,0
Castle River #1 (CR1),39,0,2015,4,9,13,0
Castle Rock Wind Farm (CRR1),77,9,2015,4,9,13,0
Cowley Ridge (CRW1),38,1,2015,4,9,13,0
Enmax Taber (TAB1),81,2,2015,4,9,13,0
Ghost Pine (NEP1),82,0,2015,4,9,13,0
Halkirk Wind Power Facility (HAL1),150,0,2015,4,9,13,0
Kettles Hill (KHW1),63,0,2015,4,9,13,0
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,0
Oldman 2 Wind Farm 1 (OWF1),46,8,2015,4,9,13,0
Soderglen Wind  (GWW1),71,8,2015,4,9,13,0
Summerview 1 (IEW1),66,3,2015,4,9,13,0
Summerview 2 (IEW2),66,1,2015,4,9,13,0
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,0
Suncor Magrath (SCR2),30,4,2015,4,9,13,0
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,0
Ardenville Wind (ARD1),68,0,2015,4,9,13,1
Blackspring Ridge (BSR1),300,0,2015,4,9,13,1
Blue Trail Wind (BTR1),66,0,2015,4,9,13,1
Castle River #1 (CR1),39,0,2015,4,9,13,1
Castle Rock Wind Farm (CRR1),77,9,2015,4,9,13,1
Cowley Ridge (CRW1),38,0,2015,4,9,13,1
Enmax Taber (TAB1),81,2,2015,4,9,13,1
Ghost Pine (NEP1),82,0,2015,4,9,13,1
Halkirk Wind Power Facility (HAL1),150,0,2015,4,9,13,1
Kettles Hill (KHW1),63,0,2015,4,9,13,1
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,1
Oldman 2 Wind Farm 1 (OWF1),46,7,2015,4,9,13,1
Soderglen Wind  (GWW1),71,8,2015,4,9,13,1
Summerview 1 (IEW1),66,4,2015,4,9,13,1
Summerview 2 (IEW2),66,2,2015,4,9,13,1
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,1
Suncor Magrath (SCR2),30,4,2015,4,9,13,1
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,1
Ardenville Wind (ARD1),68,0,2015,4,9,13,2
Blackspring Ridge (BSR1),300,0,2015,4,9,13,2
Blue Trail Wind (BTR1),66,0,2015,4,9,13,2
Castle River #1 (CR1),39,0,2015,4,9,13,2
Castle Rock Wind Farm (CRR1),77,9,2015,4,9,13,2
Cowley Ridge (CRW1),38,0,2015,4,9,13,2
Enmax Taber (TAB1),81,1,2015,4,9,13,2
Ghost Pine (NEP1),82,0,2015,4,9,13,2
Halkirk Wind Power Facility (HAL1),150,0,2015,4,9,13,2
Kettles Hill (KHW1),63,0,2015,4,9,13,2
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,2
Oldman 2 Wind Farm 1 (OWF1),46,8,2015,4,9,13,2
Soderglen Wind  (GWW1),71,6,2015,4,9,13,2
Summerview 1 (IEW1),66,4,2015,4,9,13,2
Summerview 2 (IEW2),66,2,2015,4,9,13,2
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,2
Suncor Magrath (SCR2),30,5,2015,4,9,13,2
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,2
Ardenville Wind (ARD1),68,0,2015,4,9,13,3
Blackspring Ridge (BSR1),300,0,2015,4,9,13,3
Blue Trail Wind (BTR1),66,0,2015,4,9,13,3
Castle River #1 (CR1),39,0,2015,4,9,13,3
